#N S_wide S_narrow rel_err_wide rel_err_narrow
100 0.2916640786 1.0000000000 -0.6912029945 0.0587419847
600 1.0532313951 0.9395833333 0.1151002976 -0.0052236769
1100 0.9633752901 0.9500000000 0.0199658667 0.0058048855
1600 0.8810685709 0.9328125000 -0.0671757125 -0.0123922424
2100 0.8518442932 0.9470238095 -0.0981166823 0.0026538677
2600 0.9236029157 0.9466346154 -0.0221428159 0.0022418115
3100 1.0380732262 0.9262096774 0.0990517078 -0.0193829279
3600 1.0019201220 0.9572916667 0.0607748985 0.0135248791
4100 0.9461298161 0.9423780488 0.0017073593 -0.0022647943
4600 0.9341704548 0.9448369565 -0.0109545186 0.0003385546
5100 0.9436190780 0.9465686275 -0.0009508646 0.0021719473
5600 1.0225603710 0.9421875000 0.0826275967 -0.0024665363
6100 0.9706198027 0.9401639344 0.0276359363 -0.0046089701
6600 0.9633752901 0.9410984848 0.0199658667 -0.0036195223
7100 0.8996399046 0.9404929577 -0.0475134619 -0.0042606193
7600 0.9248821441 0.9455592105 -0.0207884431 0.0011032352
8100 0.9734138592 0.9333333333 0.0305941212 -0.0118408143
8600 0.8930799307 0.9383720930 -0.0544587816 -0.0065060678
9100 0.8974279343 0.9605769231 -0.0498553677 0.0170031180
9600 0.9225901932 0.9434895833 -0.0232150277 -0.0010879660
10100 0.9654754815 0.9431930693 0.0221894275 -0.0014018978
10600 0.8951702540 0.9412735849 -0.0522456687 -0.0034341366
11100 0.8942613342 0.9456081081 -0.0532079801 0.0011550051
11600 0.9395271039 0.9468750000 -0.0052832093 0.0024963168
12100 0.9585543962 0.9461776860 0.0148617839 0.0017580411
12600 0.9274609062 0.9459325397 -0.0180581994 0.0014984945
13100 0.9306533197 0.9444656489 -0.0146782573 -0.0000545644
13600 0.9278920934 0.9493566176 -0.0176016835 0.0051237096
14100 0.9067098426 0.9443262411 -0.0400282217 -0.0002021612
14600 0.9262665146 0.9583047945 -0.0193227519 0.0145975201
15100 0.9586927442 0.9512417219 0.0150082587 0.0071195485
15600 0.9130082804 0.9440705128 -0.0333598012 -0.0004729115
16100 0.9341704548 0.9458850932 -0.0109545186 0.0014482609
16600 0.9569861536 0.9371987952 0.0132014197 -0.0077482875
17100 0.9324153781 0.9423976608 -0.0128126920 -0.0022440302
17600 0.9926521768 0.9445312500 0.0509625358 0.0000148903
18100 0.9383741168 0.9485497238 -0.0065039252 0.0042694171
18600 0.9314433479 0.9451612903 -0.0138418211 0.0006819404
19100 0.9294565578 0.9405104712 -0.0159453193 -0.0042420771
19600 0.9112022321 0.9471938776 -0.0352719403 0.0028339258
20100 0.9572192565 0.9459577114 0.0134482154 0.0015251449
20600 0.8981177050 0.9439320388 -0.0491250785 -0.0006195198
21100 0.9418031228 0.9416469194 -0.0028734925 -0.0030388716
21600 0.9803153755 0.9437500000 0.0379010463 -0.0008122519
22100 0.9400997528 0.9416289593 -0.0046769219 -0.0030578868
22600 0.9304858438 0.9408738938 -0.0148555709 -0.0038573063
23100 0.9456986793 0.9431277056 0.0012508966 -0.0014711011
23600 0.9421408868 0.9433792373 -0.0025158876 -0.0012047940
24100 0.9217875791 0.9390041494 -0.0240647890 -0.0058368832
24600 0.9366448054 0.9420731707 -0.0083348197 -0.0025875815
25100 0.9427760524 0.9474601594 -0.0018434112 0.0031158496
25600 0.9357555857 0.9489257813 -0.0092762740 0.0046675650
26100 0.9588037528 0.9437260536 0.0151257882 -0.0008376049
26600 0.9579593360 0.9471334586 0.0142317687 0.0027699578
27100 0.9449485648 0.9402675277 0.0004567189 -0.0044992916
27600 0.9486127582 0.9418478261 0.0043361544 -0.0028261633
28100 0.9469568010 0.9488434164 0.0025829230 0.0045803618
28600 0.9395798524 0.9431818182 -0.0052273622 -0.0014138099
29100 0.9618566809 0.9440721649 0.0183580514 -0.0004711624
29600 0.9084941909 0.9460726351 -0.0381390572 0.0016468194
30100 0.9615547753 0.9438122924 0.0180384113 -0.0007463004
30600 0.9636352402 0.9409722222 0.0202410868 -0.0037532019
31100 0.9443914058 0.9461012862 -0.0001331687 0.0016771535
31600 0.9368324045 0.9501582278 -0.0081362007 0.0059724079
32100 0.9219371292 0.9471962617 -0.0239064541 0.0028364500
32600 0.9668455450 0.9402990798 0.0236399712 -0.0044658861
