#type size merge hybrid_5 hybrid_10 hybrid_20 hybrid_30 hybrid_50
0 500 33 28 33 22 17 21
0 600 41 30 27 27 22 27
0 700 50 33 28 27 26 27
0 800 46 37 33 31 30 31
0 900 59 19 17 16 17 11
0 1000 24 20 19 18 15 16
0 1100 28 46 50 48 25 20
0 1200 33 25 25 22 20 21
0 1300 35 30 26 24 21 23
0 1400 37 31 28 26 26 26
0 1500 40 34 31 30 28 28
0 1600 43 37 34 30 29 31
0 1700 49 40 36 34 33 33
0 1800 114 100 92 95 78 66
0 1900 117 90 84 79 72 63
0 2000 110 93 98 81 72 81
0 2100 113 96 90 87 76 83
0 2200 122 100 92 91 84 89
0 2300 125 109 114 98 78 80
0 2400 117 94 90 87 81 86
0 2500 121 103 97 91 78 88
0 2600 128 104 98 95 92 91
0 2700 132 113 109 99 97 97
0 2800 128 107 98 78 77 70
0 2900 97 103 103 99 96 96
0 3000 134 116 110 105 100 99
0 3100 138 118 111 110 112 103
0 3200 143 115 105 101 98 100
0 3300 135 118 111 107 102 91
0 3400 142 122 114 110 105 97
0 3500 146 125 118 114 109 101
0 3600 138 119 112 111 105 100
0 3700 144 126 115 112 111 106
0 3800 148 129 121 117 113 104
0 3900 154 137 125 115 110 115
0 4000 151 129 124 117 114 112
0 4100 151 133 123 119 114 118
0 4200 155 135 129 124 119 117
0 4300 153 138 124 124 113 122
0 4400 162 140 130 129 124 125
0 4500 164 139 132 126 124 123
0 4600 159 133 127 122 118 121
0 4700 161 144 132 128 121 121
0 4800 166 141 133 159 122 124
0 4900 175 157 136 130 126 129
0 5000 171 147 141 134 130 135
0 5100 174 156 143 131 128 129
0 5200 170 148 152 134 129 131
0 5300 179 154 144 139 136 129
0 5400 171 148 157 139 139 133
0 5500 190 163 147 148 141 133
0 5600 180 155 148 145 138 138
0 5700 189 172 154 145 138 136
0 5800 191 163 153 150 140 153
0 5900 212 161 155 149 142 142
0 6000 196 165 155 149 144 144
0 6100 191 182 156 158 146 147
