step,processed,mean_true,mean_est,std_est,mean_est_plus,std_est_plus
0,2500,2461.9,2460.23,98.3248,2451.7,87.6895
1,5000,4887.3,4888.95,133.098,4883.52,136.083
2,7500,7302.4,7330.72,231.879,7330.72,231.879
3,10000,9715.13,9844.43,323.835,9844.43,323.835
4,12500,12125.1,12241.6,392.124,12241.6,392.124
5,15000,14534.4,14665.9,424.582,14665.9,424.582
6,17500,16937.2,16973.1,506.059,16973.1,506.059
7,20000,19340.2,19366.5,596.753,19366.5,596.753
8,22500,21743.6,21749.8,631.122,21749.8,631.122
9,25000,24145,24301.7,591.65,24301.7,591.65
10,27500,26544.6,26716.1,729.063,26716.1,729.063
11,30000,28944.7,29110.3,842.209,29110.3,842.209
12,32500,31342.4,31562.9,844.728,31562.9,844.728
13,35000,33737.9,33921,879.173,33921,879.173
14,37500,36136.5,36405.6,1073.8,36405.6,1073.8
15,40000,38528.8,38680.8,1048.33,38680.8,1048.33
16,42500,40921.2,41107,1149.44,41107,1149.44
17,45000,43313.8,43548,1059.46,43548,1059.46
18,47500,45703.6,45924.8,1119.94,45924.8,1119.94
19,50000,48089.1,48338.7,1162.08,48338.7,1162.08
