stream,step,processed,true_unique,estimate,estimate_plus
0,0,2500,2461,2560.04,2528.04
0,1,5000,4890,4947.52,4943.35
0,2,7500,7301,7371.53,7371.53
0,3,10000,9717,9808.82,9808.82
0,4,12500,12127,12573.5,12573.5
0,5,15000,14543,15015.4,15015.4
0,6,17500,16940,16995.7,16995.7
0,7,20000,19332,19527.2,19527.2
0,8,22500,21727,22338.6,22338.6
0,9,25000,24124,24408.5,24408.5
0,10,27500,26524,26341,26341
0,11,30000,28923,28932.2,28932.2
0,12,32500,31310,31579.9,31579.9
0,13,35000,33712,33815.6,33815.6
0,14,37500,36116,36413.4,36413.4
0,15,40000,38510,38802.6,38802.6
0,16,42500,40896,40901,40901
0,17,45000,43296,43761.2,43761.2
0,18,47500,45683,45475.6,45475.6
0,19,50000,48070,47830.8,47830.8
1,0,2500,2445,2322.47,2322.47
1,1,5000,4869,4556.62,4544.08
1,2,7500,7284,6750.1,6750.1
1,3,10000,9717,9028.06,9028.06
1,4,12500,12125,11372.5,11372.5
1,5,15000,14526,13930.7,13930.7
1,6,17500,16928,15763.8,15763.8
1,7,20000,19329,17855.5,17855.5
1,8,22500,21731,19958.7,19958.7
1,9,25000,24119,22998.1,22998.1
1,10,27500,26519,25239.6,25239.6
1,11,30000,28912,26984.5,26984.5
1,12,32500,31300,29664.6,29664.6
1,13,35000,33686,32349.5,32349.5
1,14,37500,36061,35038,35038
1,15,40000,38439,37567,37567
1,16,42500,40837,40210.1,40210.1
1,17,45000,43226,43086.3,43086.3
1,18,47500,45617,45321.1,45321.1
1,19,50000,48012,47375.7,47375.7
2,0,2500,2471,2361.85,2361.85
2,1,5000,4883,4954.92,4950.92
2,2,7500,7297,7231.66,7231.66
2,3,10000,9713,9770.76,9770.76
2,4,12500,12125,12052.7,12052.7
2,5,15000,14533,14407.3,14407.3
2,6,17500,16920,16601.7,16601.7
2,7,20000,19323,19213.4,19213.4
2,8,22500,21733,21683.1,21683.1
2,9,25000,24147,24589.3,24589.3
2,10,27500,26556,26949.8,26949.8
2,11,30000,28964,29400.4,29400.4
2,12,32500,31360,31491,31491
2,13,35000,33756,33715.5,33715.5
2,14,37500,36165,35683.4,35683.4
2,15,40000,38532,37699.3,37699.3
2,16,42500,40920,39460.1,39460.1
2,17,45000,43319,41811.2,41811.2
2,18,47500,45712,44944.5,44944.5
2,19,50000,48108,47671.3,47671.3
3,0,2500,2465,2445.49,2445.49
3,1,5000,4886,4911.76,4906.76
3,2,7500,7307,7371.04,7371.04
3,3,10000,9713,9712.17,9712.17
3,4,12500,12130,12131.8,12131.8
3,5,15000,14526,14513.2,14513.2
3,6,17500,16928,17037.7,17037.7
3,7,20000,19340,19332.8,19332.8
3,8,22500,21740,21861.9,21861.9
3,9,25000,24143,24345.7,24345.7
3,10,27500,26543,26991.1,26991.1
3,11,30000,28943,29269.4,29269.4
3,12,32500,31333,31626,31626
3,13,35000,33735,34397,34397
3,14,37500,36147,36615,36615
3,15,40000,38531,38309.8,38309.8
3,16,42500,40937,42040.2,42040.2
3,17,45000,43335,44302.4,44302.4
3,18,47500,45730,45935.9,45935.9
3,19,50000,48119,47934.9,47934.9
4,0,2500,2462,2351.86,2351.86
4,1,5000,4893,4872.22,4866.32
4,2,7500,7304,7397.66,7397.66
4,3,10000,9715,10112.9,10112.9
4,4,12500,12112,12448.1,12448.1
4,5,15000,14540,14938.5,14938.5
4,6,17500,16931,16928.8,16928.8
4,7,20000,19345,19409.7,19409.7
4,8,22500,21760,21875.1,21875.1
4,9,25000,24151,24144.9,24144.9
4,10,27500,26546,27049.4,27049.4
4,11,30000,28955,29508.4,29508.4
4,12,32500,31349,32115.1,32115.1
4,13,35000,33743,33891.6,33891.6
4,14,37500,36143,36425,36425
4,15,40000,38544,38723.6,38723.6
4,16,42500,40932,40723.1,40723.1
4,17,45000,43324,42960.6,42960.6
4,18,47500,45719,45283.8,45283.8
4,19,50000,48110,47720.1,47720.1
5,0,2500,2459,2478.71,2478.71
5,1,5000,4897,4964.42,4960.65
5,2,7500,7316,7250.03,7250.03
5,3,10000,9727,9741.24,9741.24
5,4,12500,12136,11661.3,11661.3
5,5,15000,14536,14122.8,14122.8
5,6,17500,16933,16584.1,16584.1
5,7,20000,19326,18641.7,18641.7
5,8,22500,21717,21192.3,21192.3
5,9,25000,24123,23918.8,23918.8
5,10,27500,26528,26322.9,26322.9
5,11,30000,28929,28575.2,28575.2
5,12,32500,31325,30803.7,30803.7
5,13,35000,33733,32957.5,32957.5
5,14,37500,36146,35284.6,35284.6
5,15,40000,38548,37822.9,37822.9
5,16,42500,40926,40350.3,40350.3
5,17,45000,43310,42906.7,42906.7
5,18,47500,45684,44952.8,44952.8
5,19,50000,48072,47812.9,47812.9
6,0,2500,2459,2322.47,2322.47
6,1,5000,4889,5083.04,5082.12
6,2,7500,7314,7506.76,7506.76
6,3,10000,9719,10000.9,10000.9
6,4,12500,12115,12559.5,12559.5
6,5,15000,14526,14915.3,14915.3
6,6,17500,16916,17291,17291
6,7,20000,19323,20227.1,20227.1
6,8,22500,21719,22664.3,22664.3
6,9,25000,24111,25398.8,25398.8
6,10,27500,26507,27815.5,27815.5
6,11,30000,28891,29797.8,29797.8
6,12,32500,31303,32253.1,32253.1
6,13,35000,33694,34101.6,34101.6
6,14,37500,36087,37271.3,37271.3
6,15,40000,38484,40702.8,40702.8
6,16,42500,40897,42846.2,42846.2
6,17,45000,43280,44290.8,44290.8
6,18,47500,45680,46425,46425
6,19,50000,48074,48433.9,48433.9
7,0,2500,2465,2634.35,2602.38
7,1,5000,4869,4975.63,4972.12
7,2,7500,7293,7824.68,7824.68
7,3,10000,9704,10520.2,10520.2
7,4,12500,12126,12299.3,12299.3
7,5,15000,14528,14669.7,14669.7
7,6,17500,16940,17972,17972
7,7,20000,19340,20468.1,20468.1
7,8,22500,21750,22465.7,22465.7
7,9,25000,24165,25476.5,25476.5
7,10,27500,26560,27588.2,27588.2
7,11,30000,28944,30053.5,30053.5
7,12,32500,31348,32582.8,32582.8
7,13,35000,33753,34713.6,34713.6
7,14,37500,36150,38014.9,38014.9
7,15,40000,38548,39780.6,39780.6
7,16,42500,40958,42400.3,42400.3
7,17,45000,43376,45285.3,45285.3
7,18,47500,45770,48072.4,48072.4
7,19,50000,48151,50730.2,50730.2
8,0,2500,2458,2576.25,2544.25
8,1,5000,4884,4943.82,4939.57
8,2,7500,7295,7615.64,7615.64
8,3,10000,9718,9991.26,9991.26
8,4,12500,12144,12603.9,12603.9
8,5,15000,14529,14740.7,14740.7
8,6,17500,16953,17308.6,17308.6
8,7,20000,19350,19632.9,19632.9
8,8,22500,21761,21905.9,21905.9
8,9,25000,24159,24183.2,24183.2
8,10,27500,26564,26192.7,26192.7
8,11,30000,28958,28680.3,28680.3
8,12,32500,31357,31132.8,31132.8
8,13,35000,33738,33044.9,33044.9
8,14,37500,36147,35559.7,35559.7
8,15,40000,38535,38019.2,38019.2
8,16,42500,40935,40590.3,40590.3
8,17,45000,43323,43754.4,43754.4
8,18,47500,45701,44876.2,44876.2
8,19,50000,48082,46887,46887
9,0,2500,2461,2602.72,2570.73
9,1,5000,4894,5079.38,5078.37
9,2,7500,7306,7779.27,7779.27
9,3,10000,9717,10041.9,10041.9
9,4,12500,12135,12163.5,12163.5
9,5,15000,14526,14273.7,14273.7
9,6,17500,16922,16555.5,16555.5
9,7,20000,19310,19075.4,19075.4
9,8,22500,21722,21537.5,21537.5
9,9,25000,24106,24426.8,24426.8
9,10,27500,26505,27464.8,27464.8
9,11,30000,28910,29533.9,29533.9
9,12,32500,31315,32206.6,32206.6
9,13,35000,33712,34110,34110
9,14,37500,36129,36120.5,36120.5
9,15,40000,38528,38058,38058
9,16,42500,40929,40841.3,40841.3
9,17,45000,43330,43775.5,43775.5
9,18,47500,45726,46138.1,46138.1
9,19,50000,48109,48038.1,48038.1
10,0,2500,2458,2322.47,2322.47
10,1,5000,4895,4911.87,4906.88
10,2,7500,7291,7248.85,7248.85
10,3,10000,9679,9744.47,9744.47
10,4,12500,12080,12472,12472
10,5,15000,14499,14651.8,14651.8
10,6,17500,16911,16832.4,16832.4
10,7,20000,19308,19062.4,19062.4
10,8,22500,21704,21170.5,21170.5
10,9,25000,24118,23438.7,23438.7
10,10,27500,26499,25623.5,25623.5
10,11,30000,28907,27954.7,27954.7
10,12,32500,31312,30649,30649
10,13,35000,33699,33019.9,33019.9
10,14,37500,36102,35140.6,35140.6
10,15,40000,38496,37574.1,37574.1
10,16,42500,40881,39900.7,39900.7
10,17,45000,43268,42055.5,42055.5
10,18,47500,45656,45767.4,45767.4
